origin_city,united_cities
אבו קרינאת,אבו קרינאת
אבו תלול,אבו תלול
אבו-גוש,אבו-גוש
אביגדור,אביגדור
אביעזר,אביעזר
אבן יהודה,אבן יהודה
אבן ספיר,אבן ספיר
אבן שמואל,אבן שמואל
אבשלום,אבשלום
אדרת,אדרת
אוהד,אוהד
אום בטין,אום בטין
אופקים,אופקים
אור הנר,אור הנר
אור יהודה,אור יהודה
אורה,אורה
אורות,אורות
אורים,אורים
אורנית,אורנית
אזור,אזור
אזור תעשייה אפק ולב הארץ,ראש העין
אזור תעשייה באר טוביה,באר טוביה
אזור תעשייה ברוש,בית שמש
אזור תעשייה דימונה,דימונה
אזור תעשייה הדרומי אשקלון,אשקלון
אזור תעשייה הר טוב - צרעה,בית שמש
אזור תעשייה חבל מודיעין,מודיעין
אזור תעשייה כנות,גדרה
אזור תעשייה נ.ע.מ,נתיבות
אזור תעשייה נשר - רמלה,רמלה
אזור תעשייה עד הלום,אשדוד
אזור תעשייה עידן הנגב,להבים
אזור תעשייה צפוני אשקלון,אשקלון
אזור תעשייה קריית גת,קריית גת
אזור תעשייה תימורים,קריית מלאכי
אחווה,אחווה
אחיסמך,אחיסמך
אחיעזר,אחיעזר
איבים,איבים
אירוס,אירוס
איתן,איתן
אל סייד,אל סייד
אל עזי,אל עזי
אל פורעה,אל פורעה
אל-ח'וואלד מערב,אל-ח'וואלד מערב
אלומה,אלומה
אלון הגליל,אלון הגליל
אלון שבות,אלון שבות
אלוני אבא,אלוני אבא
אלונים,אלונים
אלישמע,אלישמע
אלעד,אלעד
אלעזר,אלעזר
אלפי מנשה,אלפי מנשה
אלקנה,אלקנה
אמונים,אמונים
אפרת,אפרת
ארז,ארז
אריאל,אריאל
ארסוף,ארסוף
"אשדוד - א,ב,ד,ה",אשדוד
אשדוד - איזור תעשייה צפוני,אשדוד
"אשדוד - ג,ו,ז",אשדוד
"אשדוד - ח,ט,י,יג,יד,טז",אשדוד
"אשדוד -יא,יב,טו,יז,מרינה,סיט",אשדוד
אשל הנשיא,אשל הנשיא
אשקלון - דרום,אשקלון
אשקלון - צפון,אשקלון
אשתאול,אשתאול
אתר דודאים,אתר דודאים
באקה אל גרבייה,באקה אל גרבייה
באר גנים,באר גנים
באר טוביה,באר טוביה
באר יעקב,באר יעקב
באר שבע - דרום,באר שבע
באר שבע - מזרח,באר שבע
באר שבע - מערב,באר שבע
באר שבע - צפון,באר שבע
בארות יצחק,בארות יצחק
בארי,בארי
בטחה,בטחה
ביצרון,ביצרון
ביר אלמכסור,ביר אלמכסור
ביריה,ביריה
בית אלעזרי,בית אלעזרי
בית אריה,בית אריה
בית ברל,בית ברל
בית גוברין,בית גוברין
בית גמליאל,בית גמליאל
בית דגן,בית דגן
בית הגדי,בית הגדי
בית זית,בית זית
בית חלקיה,בית חלקיה
בית חנן,בית חנן
בית חשמונאי,בית חשמונאי
בית לחם הגלילית,בית לחם הגלילית
בית מאיר,בית מאיר
בית נחמיה,בית נחמיה
בית ניר,בית ניר
בית נקופה,בית נקופה
בית סוהר נפחא,בית סוהר נפחא
בית עובד,בית עובד
בית עוזיאל,בית עוזיאל
בית עזרא,בית עזרא
בית עלמין תל רגב,בית עלמין תל רגב
בית עריף,בית עריף
בית שמש,בית שמש
בית שערים,בית שערים
בית שקמה,בית שקמה
ביתר עילית,ביתר עילית
בן זכאי,בן זכאי
בן שמן,בן שמן
בני ברק,בני ברק
בני דרום,בני דרום
בני דרור,בני דרור
בני נצרים,בני נצרים
בני עטרות,בני עטרות
בני עי''ש,בני עי''ש
בני ציון,בני ציון
בני ראם,בני ראם
בניה,בניה
בסמת טבעון,בסמת טבעון
בצרה,בצרה
בקוע,בקוע
בקעות,בקעות
בר גיורא,בר גיורא
ברוכין,ברוכין
ברור חיל,ברור חיל
ברוש,ברוש
ברכיה,ברכיה
ברקן,ברקן
ברקת,ברקת
בת הדר,בת הדר
בת עין,בת עין
בת-ים,בת-ים
ג'לג'וליה,ג'לג'וליה
ג'ת,ג'ת
גאולים,גאולים
גאליה,גאליה
גבולות,גבולות
גבים,גבים
גבע בנימין,גבע בנימין
גבעולים,גבעולים
גבעות,גבעות
גבעות בר,גבעות בר
גבעות עדן,גבעות עדן
גבעת ברנר,גבעת ברנר
גבעת השלושה,גבעת השלושה
גבעת וושינגטון,גבעת וושינגטון
גבעת זאב,גבעת זאב
גבעת חביבה,גבעת חביבה
גבעת חן,גבעת חן
גבעת יערים,גבעת יערים
גבעת ישעיהו,גבעת ישעיהו
גבעת כ''ח,גבעת כ''ח
גבעת שמואל,גבעת שמואל
גבעתי,גבעתי
גבעתיים,גבעתיים
גברעם,גברעם
גדרה,גדרה
גזר,גזר
גיאה,גיאה
גיבתון,גיבתון
גיזו,גיזו
גילת,גילת
גינתון,גינתון
גלאון,גלאון
גמזו,גמזו
גן הדרום,גן הדרום
